deg,mos_pred,model
1272/1272_1.wav,4.727409362792969,NISQAv2_mos_only
1272/1272_1_advspeech_0.wav,2.586895227432251,NISQAv2_mos_only
1272/1272_1_K.wav,4.938975811004639,NISQAv2_mos_only
1272/1272_1_WS.wav,4.342813014984131,NISQAv2_mos_only
1272/1272_2.wav,4.357377052307129,NISQAv2_mos_only
1272/1272_2_advspeech_0.wav,4.060663223266602,NISQAv2_mos_only
1272/1272_2_Er.wav,4.666343688964844,NISQAv2_mos_only
1272/1272_2_K.wav,4.829428195953369,NISQAv2_mos_only
1462/1462_1.wav,4.094192981719971,NISQAv2_mos_only
1462/1462_1_advspeech_0.wav,2.772571086883545,NISQAv2_mos_only
1462/1462_1_K.wav,4.553919792175293,NISQAv2_mos_only
1462/1462_1_Mai.wav,4.21810245513916,NISQAv2_mos_only
1462/1462_2.wav,4.479380130767822,NISQAv2_mos_only
1462/1462_2_advspeech_0.wav,2.8551371097564697,NISQAv2_mos_only
1462/1462_2_advspeech_1.wav,2.4254233837127686,NISQAv2_mos_only
1462/1462_2_Mai.wav,4.234224796295166,NISQAv2_mos_only
1462/1462_2_WS.wav,4.956940650939941,NISQAv2_mos_only
1673/1673_1.wav,4.167196273803711,NISQAv2_mos_only
1673/1673_1_advspeech_0.wav,2.6951684951782227,NISQAv2_mos_only
1673/1673_1_advspeech_1.wav,2.9635841846466064,NISQAv2_mos_only
1673/1673_1_K.wav,3.9153172969818115,NISQAv2_mos_only
1673/1673_1_Lw.wav,4.437045574188232,NISQAv2_mos_only
1673/1673_2.wav,4.387871265411377,NISQAv2_mos_only
1673/1673_2_advspeech_0.wav,3.051379680633545,NISQAv2_mos_only
1673/1673_2_advspeech_1.wav,3.1097540855407715,NISQAv2_mos_only
1673/1673_2_FE.wav,4.114505290985107,NISQAv2_mos_only
1673/1673_2_K.wav,4.318883419036865,NISQAv2_mos_only
174/174_1.wav,4.2236785888671875,NISQAv2_mos_only
174/174_1_advspeech_0.wav,3.568552017211914,NISQAv2_mos_only
174/174_1_advspeech_1.wav,3.7294445037841797,NISQAv2_mos_only
174/174_1_K.wav,4.94353723526001,NISQAv2_mos_only
174/174_1_WS.wav,4.687293529510498,NISQAv2_mos_only
174/174_2.wav,3.076383590698242,NISQAv2_mos_only
174/174_2_advspeech_0.wav,2.0802159309387207,NISQAv2_mos_only
174/174_2_advspeech_1.wav,2.2443079948425293,NISQAv2_mos_only
174/174_2_K.wav,5.0076494216918945,NISQAv2_mos_only
174/174_2_Mai.wav,4.082890510559082,NISQAv2_mos_only
1919/1919_1.wav,3.051227569580078,NISQAv2_mos_only
1919/1919_1_advspeech_0.wav,3.73355770111084,NISQAv2_mos_only
1919/1919_1_advspeech_1.wav,4.093716144561768,NISQAv2_mos_only
1919/1919_1_Lw.wav,3.371159553527832,NISQAv2_mos_only
1919/1919_1_Mai.wav,4.681305408477783,NISQAv2_mos_only
1919/1919_2.wav,3.5624053478240967,NISQAv2_mos_only
1919/1919_2_advspeech_0.wav,3.25484037399292,NISQAv2_mos_only
1919/1919_2_advspeech_1.wav,3.304094076156616,NISQAv2_mos_only
1919/1919_2_K.wav,5.104119300842285,NISQAv2_mos_only
1919/1919_2_Mai.wav,4.934638023376465,NISQAv2_mos_only
1988/1988_1.wav,4.517757892608643,NISQAv2_mos_only
1988/1988_1_advspeech_0.wav,1.8357139825820923,NISQAv2_mos_only
1988/1988_1_advspeech_1.wav,2.3966803550720215,NISQAv2_mos_only
1988/1988_1_K.wav,5.087491989135742,NISQAv2_mos_only
1988/1988_1_Richy.wav,4.288277626037598,NISQAv2_mos_only
1988/1988_2.wav,4.483799934387207,NISQAv2_mos_only
1988/1988_2_advspeech_0.wav,2.665975570678711,NISQAv2_mos_only
1988/1988_2_advspeech_1.wav,3.026697874069214,NISQAv2_mos_only
1988/1988_2_K.wav,4.765867233276367,NISQAv2_mos_only
1988/1988_2_WS.wav,4.754618167877197,NISQAv2_mos_only
1993/1993_1.wav,3.622020959854126,NISQAv2_mos_only
1993/1993_1_advspeech_0.wav,2.901120901107788,NISQAv2_mos_only
1993/1993_1_advspeech_1.wav,3.6137266159057617,NISQAv2_mos_only
1993/1993_1_K.wav,4.8361005783081055,NISQAv2_mos_only
1993/1993_1_Mai.wav,4.974759101867676,NISQAv2_mos_only
1993/1993_2.wav,3.482506275177002,NISQAv2_mos_only
1993/1993_2_advspeech_0.wav,2.825472116470337,NISQAv2_mos_only
1993/1993_2_Lw.wav,2.907904624938965,NISQAv2_mos_only
1993/1993_2__K.wav,4.9674787521362305,NISQAv2_mos_only
2035/2035_1.wav,4.058849811553955,NISQAv2_mos_only
2035/2035_1_advspeech_0.wav,3.272589921951294,NISQAv2_mos_only
2035/2035_1_advspeech_1.wav,2.691070318222046,NISQAv2_mos_only
2035/2035_1_K.wav,4.961341381072998,NISQAv2_mos_only
2035/2035_1_Lw.wav,4.880502700805664,NISQAv2_mos_only
2035/2035_2.wav,4.248440265655518,NISQAv2_mos_only
2035/2035_2_advspeech_0.wav,3.5700926780700684,NISQAv2_mos_only
2035/2035_2_advspeech_1.wav,2.577712297439575,NISQAv2_mos_only
2035/2035_2_K.wav,4.516698837280273,NISQAv2_mos_only
2035/2035_2_Lw.wav,4.252668857574463,NISQAv2_mos_only
2078/2078_1.wav,4.694903373718262,NISQAv2_mos_only
2078/2078_1_advspeech_0.wav,3.8797495365142822,NISQAv2_mos_only
2078/2078_1_advspeech_1.wav,3.824453353881836,NISQAv2_mos_only
2078/2078_1_Er.wav,4.683803558349609,NISQAv2_mos_only
2078/2078_1_K.wav,4.892847061157227,NISQAv2_mos_only
2078/2078_2.wav,4.800648212432861,NISQAv2_mos_only
2078/2078_2_advspeech_0.wav,3.618379592895508,NISQAv2_mos_only
2078/2078_2_advspeech_1.wav,3.5642306804656982,NISQAv2_mos_only
2078/2078_2_Er.wav,4.561140060424805,NISQAv2_mos_only
2078/2078_2_K.wav,4.879805564880371,NISQAv2_mos_only
2086/2086_1.wav,4.8079352378845215,NISQAv2_mos_only
2086/2086_1_advspeech_0.wav,2.12278151512146,NISQAv2_mos_only
2086/2086_1_advspeech_1.wav,2.1482279300689697,NISQAv2_mos_only
2086/2086_1_K.wav,5.053469657897949,NISQAv2_mos_only
2086/2086_1_Richy.wav,5.069423198699951,NISQAv2_mos_only
2086/2086_2.wav,4.769445896148682,NISQAv2_mos_only
2086/2086_2_advspeech_0.wav,2.9411723613739014,NISQAv2_mos_only
2086/2086_2_advspeech_1.wav,3.394324779510498,NISQAv2_mos_only
2086/2086_2_K.wav,5.0976643562316895,NISQAv2_mos_only
2086/2086_2_WS.wav,4.917471408843994,NISQAv2_mos_only
2277/2277_1.wav,4.474160671234131,NISQAv2_mos_only
2277/2277_1_advspeech_0.wav,2.7492220401763916,NISQAv2_mos_only
